id,name,type,typecode,location_x,location_y,adname
B000A7K06S,北京德宝温泉会议中心,住宿服务;宾馆酒店;三星级宾馆,100104,116.1497,39.737187,房山区
B000A7ISXS,王府半岛酒店,住宿服务;宾馆酒店;五星级宾馆,100102,116.4164,39.914894,东城区
B000A88DXY,北京国际温泉酒店,住宿服务;宾馆酒店;四星级宾馆,100103,116.356506,40.066499,昌平区
B000A7BRUO,昆仑饭店,住宿服务;宾馆酒店;五星级宾馆,100102,116.460047,39.948343,朝阳区
B000A7GUQB,安徽大厦,住宿服务;宾馆酒店;三星级宾馆,100104,116.416184,39.988029,朝阳区
B000A7CIWV,府右街宾馆,住宿服务;宾馆酒店;三星级宾馆,100104,116.380543,39.912488,西城区
B000A84YQ0,春晖园温泉度假酒店,住宿服务;宾馆酒店;四星级宾馆,100103,116.490402,40.130686,顺义区
B000A46D6E,花园饭店,住宿服务;宾馆酒店;四星级宾馆,100103,116.371653,39.977158,海淀区
B000A7BU79,国宾酒店,住宿服务;宾馆酒店;五星级宾馆,100102,116.350197,39.924239,西城区
B000A7C6HP,新兴宾馆(普惠西街),住宿服务;宾馆酒店;三星级宾馆,100104,116.309387,39.910403,海淀区
B000A7CGXL,东方宾馆(车站路店),住宿服务;宾馆酒店;三星级宾馆,100104,116.663326,39.902198,通州区
