id,name,type,typecode,location_x,location_y,adname
B000A87Y5L,南宫体育公园,风景名胜;公园广场;公园,110101,116.143565,39.798049,丰台区
B000A4D71B,双榆树公园,风景名胜;公园广场;公园,110101,116.324784,39.970482,海淀区
B0FFHDJK53,韩村河公园,风景名胜;公园广场;公园广场,110100,115.95512,39.597157,房山区
B0FFFOKXEE,滨河森林公园,风景名胜;公园广场;公园,110101,116.648646,40.297768,怀柔区
B000A88DVY,南苑公园,风景名胜;公园广场;公园,110101,116.37871,39.806518,丰台区
B000A85TQ7,高米店公园,风景名胜;公园广场;公园,110101,116.341203,39.76565,大兴区
B000A8UU5T,百望山森林公园,风景名胜;风景名胜;省级景点,110203,116.255647,40.030003,海淀区
B000A0AD05,槐房钓鱼公园,风景名胜;公园广场;公园,110101,116.378568,39.818741,丰台区
B000A84ZYO,南口公园,风景名胜;公园广场;公园,110101,116.117886,40.234047,昌平区
B0FFINI63K,朝阳公园西路口,风景名胜;公园广场;公园,110101,116.470702,39.94268,朝阳区
B0FFG93W3C,二十四节气公园,风景名胜;公园广场;公园,110101,116.407716,39.872771,东城区
B0FFG6GKCT,潞城中心公园,风景名胜;公园广场;公园,110101,116.712307,39.919695,通州区
B0FFFAHVON,望和公园北园,风景名胜;公园广场;公园,110101,116.452688,40.000171,朝阳区
B0FFG62SZZ,豪丰体育公园,风景名胜;公园广场;公园,110101,116.498475,39.946282,朝阳区
B0FFFAI70L,南长河公园,风景名胜;公园广场;公园,110101,116.302923,39.950401,海淀区
B0FFF9Q1FF,奥运生态公园,风景名胜;公园广场;公园,110101,116.640382,40.016737,通州区
B000A831XM,首云国家矿山公园,风景名胜;公园广场;公园,110101,117.01389,40.37916,密云区
B000A844S8,碧水风荷公园,风景名胜;公园广场;公园,110101,116.33857,40.039796,海淀区
B0FFGB0QP8,塔西公园,风景名胜;公园广场;公园,110101,116.166649,39.815339,丰台区
B0FFG6NWST,北京拉斐特城堡公园,风景名胜;公园广场;公园,110101,116.448669,40.131798,昌平区
B0FFG8VSKA,绿丰休闲公园,风景名胜;公园广场;公园,110101,116.585924,39.870084,朝阳区
B0FFIP0OI3,北海公园-长廊,风景名胜;风景名胜;风景名胜,110200,116.388985,39.926909,西城区
B000A8XBPV,绿海森林公园,风景名胜;公园广场;公园,110101,116.125074,39.917682,门头沟区
B0FFHGK2Y5,新三余公园,风景名胜;公园广场;公园,110101,116.370824,39.774094,大兴区
B0FFHSGHR6,永泰·自在香山公园,风景名胜;公园广场;公园,110101,116.237407,39.975203,海淀区
B0FFF5E1T2,精品公园-金融四界,风景名胜;风景名胜;风景名胜,110200,116.357277,39.916164,西城区
B0FFG18BTX,北海公园-船坞,风景名胜;风景名胜;风景名胜,110200,116.391491,39.929325,西城区
B0FFIAMADN,梨园主题公园-佛,风景名胜;风景名胜;风景名胜,110200,116.677208,39.875035,通州区
