,id,name,type,typecode,location_x,location_y,adname
275,B000A6867D,宇飞牛肉面,餐饮服务;中餐厅;中餐厅,050100,116.455559,39.888682,朝阳区
276,B000A9PT1K,夏日情(总店),餐饮服务;中餐厅;中餐厅,050100,116.564620,39.932932,朝阳区
277,B000A27129,陈记卤煮小肠(美食汇店),餐饮服务;中餐厅;特色/地方风味餐厅,050118,116.395326,39.896874,西城区
278,B0FFFWHAMT,紫竹林素斋,餐饮服务;中餐厅;中式素菜馆,050120,116.389547,40.116600,昌平区
279,B000A85O39,田老师红烧肉(惠新西街店),餐饮服务;快餐厅;快餐厅,050300,116.417109,39.981094,朝阳区
280,B000A7K9FE,福满园(新源南路店),餐饮服务;中餐厅;中餐厅,050100,116.451389,39.947586,朝阳区
281,B000A79C84,老汤卤煮(雍和宫店),餐饮服务;中餐厅;中餐厅,050100,116.416566,39.944307,东城区
282,B000A87AEP,海底捞火锅(石景山店),餐饮服务;中餐厅;火锅店,050117,116.224455,39.905955,石景山区
283,B000A81FPM,簋街龙虾(通乐总店),餐饮服务;中餐厅;海鲜酒楼,050119,116.429059,39.940836,东城区
284,B000A8W4ON,田老师红烧肉(亦庄次渠店),餐饮服务;快餐厅;快餐厅,050300,116.570217,39.803403,通州区
285,B000A879UO,西海子西园,餐饮服务;中餐厅;中餐厅,050100,116.673921,39.887902,通州区
286,B000A87NL3,香木香羊(小汤山店),餐饮服务;中餐厅;中餐厅,050100,116.394466,40.132636,昌平区
287,B000A874MM,那家·盛宴(香山店),餐饮服务;中餐厅;北京菜,050111,116.202984,39.992248,海淀区
288,B0FFG32I3J,Tomacado花厨,餐饮服务;外国餐厅;西餐厅(综合风味),050201,116.460276,39.928289,朝阳区
289,B000A842XV,一喜日本料理(牡丹园店),餐饮服务;外国餐厅;日本料理,050202,116.366003,39.980661,海淀区
290,B000A8W424,田老师红烧肉(北京璟怡轩快餐店),餐饮服务;快餐厅;快餐厅,050300,116.460888,39.890984,朝阳区
291,B000A8ZJ71,京兆尹(雍和宫店),餐饮服务;中餐厅;中式素菜馆,050120,116.416133,39.948256,东城区
292,B000A8W8CL,太熟悉家常菜(方庄店),餐饮服务;中餐厅;北京菜,050111,116.426604,39.870382,丰台区
293,B000A7XP0V,鸿运天外天(万丰路店),餐饮服务;中餐厅;中餐厅,050100,116.295488,39.888700,海淀区
294,B000A8VXI3,SWING58 BAR&BISTRO,体育休闲服务;娱乐场所;酒吧|餐饮服务;中餐厅;中餐厅,080304|050100,116.455557,39.934901,朝阳区
295,B000A87G3Q,北门涮肉(什刹海店),餐饮服务;中餐厅;火锅店,050117,116.398605,39.936475,东城区
296,B000A83IZU,晟永兴烤鸭店(芍药居店),餐饮服务;中餐厅;北京菜,050111,116.433598,39.983290,朝阳区
297,B0FFF9XSVV,胡大饭馆(簋街总店),餐饮服务;中餐厅;四川菜(川菜),050102,116.419516,39.941148,东城区
298,B000A87KCY,东四民芳餐厅(朝内大街店),餐饮服务;中餐厅;中餐厅,050100,116.430698,39.924683,东城区
299,B000A87PWE,巫山烤全鱼家常菜(椿树馆店),餐饮服务;中餐厅;特色/地方风味餐厅,050118,116.346099,39.882913,西城区
